selected,csv_file,scenario,name,sector,util,building_type,size,climate,lca,lshp,care,kwh_bin,customer_count,kwh_ann_gross,kwh_ann_net,annual_cooking,annual_dishwasher,annual_dryer,annual_freezer,annual_ventilation,annual_indoor_lighting,annual_other,annual_pool_pump,annual_refrigeration,annual_spa_heater,annual_spa_pump,annual_television,annual_washer,annual_outdoor_lighting,annual_water_heating,annual_office_equipment,annual_pc,annual_ev_level1,annual_ev_level2,annual_heating,annual_cooling,annual_gross,annual_pv_generation,annual_net,annual_gross_excl_cooling,annual_net_excl_cooling,annual_gross_excl_heating,annual_net_excl_heating
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,res,pge,res_unknown,allSize,hot_dry,Bay,NiteFlat+Flat,nonCare,80_100pct,5106.171588199481,97653526.4111136,95396196.75100932,668.3930068693927,169.08131266680823,734.0378738389556,700.5097655403156,430.78606457945284,1728.3992527802054,5042.592174177688,1210.5267436276001,3669.007018084157,281.13928501676264,109.84745726354642,818.8490690246254,172.9204940671891,570.4291223704541,770.1389593236158,28.171248550838133,766.7154900632266,155.4905684702906,266.8696632481707,2711.8668837205823,471.15035787384227,21476.92181115772,442.0786926395212,21034.843118518198,21005.771453283876,20563.692760644353,18765.054927437137,18322.976234797614
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,res,pge,res_unknown,allSize,hot_dry,Bay,FlatCool,nonCare,80_100pct,6598.262490506957,102967146.6907057,101445369.6468346,521.1039047664343,129.9662103951062,559.5235720436526,499.4526649105352,324.85347438641213,1247.1982483475454,3569.5281693351258,896.815502309385,2614.160204835735,206.02667617725572,78.8378764886363,612.4698318132654,133.90111733650807,411.6168189048213,545.2925562821968,19.941740635401757,542.7392192573207,352.84684373377337,640.4237355439417,1330.0321965506334,1288.9112358201073,16525.641799873792,230.6329955894411,16295.008804284353,15236.730564053685,15006.097568464245,15195.60960332316,14964.976607733719
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,res,pge,res_unknown,allSize,hot_dry,Bay,DayEve,nonCare,80_100pct,10380.55500620065,176015301.6367071,167307495.2404876,619.4705743231035,154.51374079584582,677.9513304882007,538.3730311483292,356.00277252332035,1365.9373522225792,3809.7181658288287,1053.6538424467549,2817.077532739329,217.39391815353505,87.57174092756314,686.4128766719577,165.86962588862463,450.8046643667647,580.8448463429768,21.283600507651382,579.2596009397805,329.59470226573353,618.6031164535137,1363.732617359824,1707.4808340069458,18201.55048640116,838.8574976018139,17362.69298879935,16494.069652394217,15655.212154792403,16837.817869041337,15998.960371439523
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,res,pge,res_unknown,allSize,hot_dry,Bay,MrnEve,nonCare,80_100pct,11841.34716533214,166414075.7079149,148728419.3348221,503.5059637630884,122.91268421030952,526.720978265932,435.1803463800976,299.86197946086264,1126.967347040457,3129.2808954109487,817.391657371469,2283.1464286527985,185.7085551832282,70.21604537585495,537.3383438184084,128.73736286873833,371.9366307746237,520.4309519464174,17.482228751601752,475.80055106513856,350.26971341117866,627.571248988592,1653.4363378301807,1063.772562609937,15247.668813179864,1493.551039941723,13754.11777323814,14183.896250569926,12690.345210628204,13594.232475349681,12100.68143540796
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,res,pge,res_unknown,allSize,hot_dry,Bay,EarlyEve,nonCare,80_100pct,25372.42407864797,275855106.6078087,258754305.2260799,396.63343780288375,96.15913411698828,403.4795818732014,326.09407011142076,227.7004824583417,852.7915514729282,2319.4374942584486,608.8400244165621,1708.5866913292616,144.0126020820401,51.609926716149175,442.1962308009523,96.3851529900168,281.4495178062318,359.6356667189681,12.957908926978295,352.6655723197347,263.0024550037614,514.8561094162537,697.4371762311644,1413.2974946494508,11569.228281501735,673.9916268434081,10895.23665465833,10155.930786852286,9481.93916000888,10871.791105270573,10197.799478427165
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,res,pge,res_unknown,allSize,hot_dry,Bay,LateEve,nonCare,80_100pct,9746.01106204597,172227705.5964107,165977988.3527141,465.38981167908156,117.10035445719444,489.5932814650154,440.9608580552857,290.05061950150764,1125.5440485837332,3148.809961113175,764.9892147099573,2307.3870356637485,186.44563016033413,68.02294701769492,580.4207102630273,114.6785467230007,371.4668950418442,473.37285927843493,17.591331003947353,478.76990425952033,1521.9339957983916,2770.9996245110897,2082.9692201432285,1374.4968039376058,19190.99365336682,641.2589934393764,18549.734659927446,17816.49684942921,17175.237855989835,17108.02443322359,16466.765439784213
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,res,pge,res_unknown,allSize,hot_dry,Bay,NitePeak,nonCare,80_100pct,1929.194784100461,54605785.77728101,49308736.63748842,580.4941194631696,152.3186622002098,642.4989462855738,612.7957321637371,378.86612548134485,1547.7579132761475,4383.92143464008,1022.5832618601665,3206.5184177291503,241.16439471923147,93.32308589578443,824.2904412250103,147.02267893782388,510.8114844946138,626.5232069280873,24.491479004591966,666.5659952377327,3440.038516668383,7082.474291898081,2753.5363080270067,1197.33098325027,30135.3274793862,2745.730593638564,27389.596885747636,28937.99649613593,26192.265902497362,27381.791171359193,24636.060577720626
x,anonymized-1in2-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct.csv,anonymized-1in2-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,res,pge,res_unknown,allSize,hot_dry,Bay,NiteFlat+Flat,nonCare,80_100pct,5106.171588199481,97152050.52814198,94894720.86803769,667.7659418696038,168.9228000682627,733.3486063406078,699.8546134659082,430.3822488351892,1726.7816441987777,5037.872788758848,1209.3897504515933,3665.57495071786,280.8764574020775,109.74445501032002,818.0848405241795,172.75785829809453,569.8952578469891,769.652794528092,28.144882948574654,765.9979174776959,155.49133251777045,266.87138583950946,2536.1580651031622,334.6637577425134,21148.232349945625,442.0786926395212,20706.153657306106,20813.56859220311,20371.489899563592,18612.074284842467,18169.995592202944
x,anonymized-1in2-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct.csv,anonymized-1in2-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,res,pge,res_unknown,allSize,hot_dry,Bay,FlatCool,nonCare,80_100pct,6598.262490506957,100464871.1166924,98943094.07282136,520.6171000394824,129.8449617921217,558.9995996568671,498.9887434114373,324.5504882802098,1246.038816203722,3566.208426180461,895.9750075068648,2611.7312158056657,205.83558835388104,78.76424921306352,611.9036052738827,133.77529066885,411.2341678135379,544.9505212635996,19.923194358743913,542.234459321995,352.8523075663857,640.4368261281855,1225.3890165700975,915.584148954123,16035.837734363176,230.6329955894411,15805.204738773737,15120.253585409053,14889.620589819613,14810.448717793079,14579.815722203639
x,anonymized-1in2-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct.csv,anonymized-1in2-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,res,pge,res_unknown,allSize,hot_dry,Bay,DayEve,nonCare,80_100pct,10380.55500620065,170570485.6828648,161862679.2866454,618.8909508038581,154.36923586556998,677.3153269795298,537.8712517140578,355.6702324710677,1364.6638467944433,3806.1645558904033,1052.664683661575,2814.4513580061725,217.19181669208876,87.48976246285304,685.7756561650647,165.7135820258378,450.38436530534295,580.4796459996791,21.263747696761627,578.7192820539134,329.5988093526628,618.6122470479024,1256.2215970453813,1196.1771475368985,17569.689101571064,838.8574976018139,16730.83160396925,16373.511954034166,15534.65445643235,16313.467504525684,15474.610006923871
