scenario,cluster,end_use,varies_across_selection,penetration,avg_kwh_per_customer_annual,typical_kwh_per_adopter_annual,mode
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,cooking,False,0.53,72.907,137.561,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,dishwasher,False,0.79,18.417,23.313,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,dryer,False,0.53,76.088,143.561,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,freezer,False,0.27,77.948,288.697,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,ventilation,False,0.77,50.246,65.254,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,indoor_lighting,False,1.0,197.346,197.346,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,other,False,1.0,565.956,565.956,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,pool_pump,False,0.15,123.889,825.928,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,refrigeration,False,1.0,408.772,408.772,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,spa_heater,False,0.08,32.836,410.449,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,spa_pump,False,0.12,11.793,98.273,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,television,False,0.65,96.627,148.656,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,washer,False,0.9,17.118,19.02,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,outdoor_lighting,False,0.74,65.131,88.014,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,water_heating,True,0.1042021705827029,86.177,827.015,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,office_equipment,False,0.18,3.162,17.566,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,pc,False,0.83,86.052,103.678,average
