vintage,building_type,size,climate,care,lca,lshp,customer_count
2025,master_mtr,allSize,hot_dry,allCare,allLca,allLshp,3974
2025,master_mtr,allSize,marine,Care,allLca,allLshp,929
2025,master_mtr,allSize,marine,nonCare,allLca,allLshp,14349
2025,res_unknown,allSize,hot_dry,Care,Bay,allLshp,70216
2025,res_unknown,allSize,hot_dry,Care,Fresno,AllDay,13743
2025,res_unknown,allSize,hot_dry,Care,Fresno,DayEve,47352
2025,res_unknown,allSize,hot_dry,Care,Fresno,EarlyEve,79693
2025,res_unknown,allSize,hot_dry,Care,Fresno,Flat,2395
2025,res_unknown,allSize,hot_dry,Care,Fresno,FlatCool,17275
2025,res_unknown,allSize,hot_dry,Care,Fresno,LateEve,58297
2025,res_unknown,allSize,hot_dry,Care,Fresno,MrnEve,19736
2025,res_unknown,allSize,hot_dry,Care,Fresno,NiteFlat,1599
2025,res_unknown,allSize,hot_dry,Care,Fresno,NitePeak,2750
2025,res_unknown,allSize,hot_dry,Care,Kern,allLshp,75887
2025,res_unknown,allSize,hot_dry,Care,NoLCA,AllDay,6273
2025,res_unknown,allSize,hot_dry,Care,NoLCA,DayEve,33461
2025,res_unknown,allSize,hot_dry,Care,NoLCA,EarlyEve,52304
2025,res_unknown,allSize,hot_dry,Care,NoLCA,FlatCool,20418
2025,res_unknown,allSize,hot_dry,Care,NoLCA,LateEve,35861
2025,res_unknown,allSize,hot_dry,Care,NoLCA,MrnEve,15232
2025,res_unknown,allSize,hot_dry,Care,NoLCA,NiteFlat+Flat,4101
2025,res_unknown,allSize,hot_dry,Care,NoLCA,NitePeak,1094
2025,res_unknown,allSize,hot_dry,Care,North,allLshp,530
2025,res_unknown,allSize,hot_dry,Care,Sierra,allLshp,95905
2025,res_unknown,allSize,hot_dry,Care,Stockton,allLshp,67206
2025,res_unknown,allSize,hot_dry,nonCare,Bay,AllDay,32325
2025,res_unknown,allSize,hot_dry,nonCare,Bay,DayEve,47599
2025,res_unknown,allSize,hot_dry,nonCare,Bay,EarlyEve,122785
2025,res_unknown,allSize,hot_dry,nonCare,Bay,FlatCool,34155
2025,res_unknown,allSize,hot_dry,nonCare,Bay,LateEve,53895
2025,res_unknown,allSize,hot_dry,nonCare,Bay,MrnEve,58153
2025,res_unknown,allSize,hot_dry,nonCare,Bay,NiteFlat+Flat,25940
2025,res_unknown,allSize,hot_dry,nonCare,Bay,NitePeak,11844
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,AllDay,27417
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,DayEve,47535
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,EarlyEve,73750
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,Flat,12936
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,FlatCool,30313
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,LateEve,56004
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,MrnEve,39070
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,NiteFlat,13458
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,NitePeak,4715
2025,res_unknown,allSize,hot_dry,nonCare,Kern,AllDay,13686
2025,res_unknown,allSize,hot_dry,nonCare,Kern,DayEve,19156
2025,res_unknown,allSize,hot_dry,nonCare,Kern,EarlyEve,14667
2025,res_unknown,allSize,hot_dry,nonCare,Kern,FlatCool,8983
2025,res_unknown,allSize,hot_dry,nonCare,Kern,LateEve,15478
2025,res_unknown,allSize,hot_dry,nonCare,Kern,MrnEve,12187
2025,res_unknown,allSize,hot_dry,nonCare,Kern,NiteFlat+Flat,7759
2025,res_unknown,allSize,hot_dry,nonCare,Kern,NitePeak,939
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,AllDay,25027
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,DayEve,42903
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,EarlyEve,83766
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,Flat,19083
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,FlatCool,39185
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,LateEve,49735
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,MrnEve,41315
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,NiteFlat,11890
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,NitePeak,3779
