vintage,building_type,size,climate,care,lca,lshp,kwh_bin,customer_count,pv_penetration,per_customer_gross_kwh,per_customer_net_kwh,per_pv_adopter_kwh
2025,master_mtr,allSize,hot_dry,allCare,allLca,allLshp,0_25pct,980,0.2799,3744.1,-2044.0,20677.4
2025,master_mtr,allSize,hot_dry,allCare,allLca,allLshp,25_50pct,922,0.1409,6392.4,3613.0,19727.6
2025,master_mtr,allSize,hot_dry,allCare,allLca,allLshp,50_75pct,1040,0.1232,13017.3,12379.2,5180.6
2025,master_mtr,allSize,hot_dry,allCare,allLca,allLshp,75_100pct,1032,0.2477,101806.9,82757.3,76917.8
2025,master_mtr,allSize,marine,Care,allLca,allLshp,0_100pct,929,0.1524,223311.8,222871.5,2888.2
2025,master_mtr,allSize,marine,nonCare,allLca,allLshp,0_50pct,6461,0.2205,3384.7,1652.8,7853.5
2025,master_mtr,allSize,marine,nonCare,allLca,allLshp,50_100pct,7888,0.1484,36002.0,34537.4,9870.2
2025,res_unknown,allSize,hot_dry,Care,Bay,allLshp,0_20pct,9865,0.4518,2983.6,-357.8,7395.7
2025,res_unknown,allSize,hot_dry,Care,Bay,allLshp,20_40pct,15634,0.072,3376.0,2981.3,5479.8
2025,res_unknown,allSize,hot_dry,Care,Bay,allLshp,40_60pct,15172,0.002,4937.8,4928.9,4539.4
2025,res_unknown,allSize,hot_dry,Care,Bay,allLshp,60_80pct,15176,0.0299,7131.2,6874.8,8582.4
2025,res_unknown,allSize,hot_dry,Care,Bay,allLshp,80_100pct,14369,0.0794,12250.1,11781.4,5906.7
2025,res_unknown,allSize,hot_dry,Care,Fresno,AllDay,0_50pct,2032,1.0,9715.4,-9442.9,19158.2
2025,res_unknown,allSize,hot_dry,Care,Fresno,AllDay,50_100pct,11711,1.0,10285.3,1351.6,8933.7
2025,res_unknown,allSize,hot_dry,Care,Fresno,DayEve,0_20pct,6680,0.7462,5343.7,-1209.3,8781.4
2025,res_unknown,allSize,hot_dry,Care,Fresno,DayEve,20_40pct,10191,0.1454,5486.3,4261.6,8425.0
2025,res_unknown,allSize,hot_dry,Care,Fresno,DayEve,40_60pct,10028,0.106,7271.8,6731.2,5099.1
2025,res_unknown,allSize,hot_dry,Care,Fresno,DayEve,60_80pct,10193,0.1174,9760.4,8741.1,8679.2
2025,res_unknown,allSize,hot_dry,Care,Fresno,DayEve,80_100pct,10259,0.1958,15639.7,13932.7,8719.0
2025,res_unknown,allSize,hot_dry,Care,Fresno,EarlyEve,0_20pct,12342,0.352,3290.2,820.2,7017.6
2025,res_unknown,allSize,hot_dry,Care,Fresno,EarlyEve,20_40pct,17007,0.1266,4798.8,3951.6,6694.2
2025,res_unknown,allSize,hot_dry,Care,Fresno,EarlyEve,40_60pct,16663,0.0568,6289.2,6001.3,5066.3
2025,res_unknown,allSize,hot_dry,Care,Fresno,EarlyEve,60_80pct,16812,0.0188,7954.6,7882.1,3852.6
2025,res_unknown,allSize,hot_dry,Care,Fresno,EarlyEve,80_100pct,16870,0.0172,11104.8,11007.1,5665.0
2025,res_unknown,allSize,hot_dry,Care,Fresno,Flat,0_50pct,1202,0.0,1254.5,1254.5,
2025,res_unknown,allSize,hot_dry,Care,Fresno,Flat,50_100pct,1194,0.0,9004.1,9004.1,
2025,res_unknown,allSize,hot_dry,Care,Fresno,FlatCool,0_20pct,3441,0.0036,1706.3,1660.5,12819.5
2025,res_unknown,allSize,hot_dry,Care,Fresno,FlatCool,20_40pct,3483,0.0,3810.3,3810.3,
2025,res_unknown,allSize,hot_dry,Care,Fresno,FlatCool,40_60pct,3562,0.0,5764.1,5764.1,
2025,res_unknown,allSize,hot_dry,Care,Fresno,FlatCool,60_80pct,3386,0.0,8053.6,8053.6,
2025,res_unknown,allSize,hot_dry,Care,Fresno,FlatCool,80_100pct,3403,0.0785,14708.0,14615.7,1176.3
2025,res_unknown,allSize,hot_dry,Care,Fresno,LateEve,0_20pct,10878,0.2267,3635.6,1794.1,8123.1
2025,res_unknown,allSize,hot_dry,Care,Fresno,LateEve,20_40pct,12152,0.0438,5480.6,5107.1,8533.5
2025,res_unknown,allSize,hot_dry,Care,Fresno,LateEve,40_60pct,11947,0.0558,7396.4,6827.0,10203.9
2025,res_unknown,allSize,hot_dry,Care,Fresno,LateEve,60_80pct,11732,0.0113,9158.0,9051.0,9474.9
2025,res_unknown,allSize,hot_dry,Care,Fresno,LateEve,80_100pct,11589,0.023,13586.4,13506.1,3485.2
